%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1574829748837121749,10278,1574829748837121749,/map,-0.000550630629063,0.000964868605137,-0.000561619758606,0.0178895083864,0.00479249707197,-0.0285637232772,0.999420387612
1574829748937103734,10279,1574829748937103734,/map,-0.000550948262215,0.000868311941624,-0.00730697917938,0.0165907102375,0.00773450626648,-0.0350761773247,0.999216987211
1574829749037082655,10280,1574829749037082655,/map,-0.000550407409668,0.00103272473812,-0.0132400941849,0.0203076726685,0.00920142742839,-0.040563214004,0.998928204544
1574829749137075809,10281,1574829749137075809,/map,-0.000756240844727,0.0011591385603,-0.0208626785278,0.0249822617431,0.0101490112421,-0.0446378999558,0.998639245201
1574829749237101235,10282,1574829749237101235,/map,-0.000891506493092,0.00157725024223,-0.0315596008301,0.0283344763384,0.010801152967,-0.0482128692501,0.998376688322
1574829749337082361,10283,1574829749337082361,/map,-0.000885971546173,0.00261266088486,-0.0424281234741,0.0231800593761,0.0114914055205,-0.0497491339261,0.998426590251
1574829749437103356,10284,1574829749437103356,/map,-0.000878896057606,0.00393626832962,-0.0509236679077,0.0180014501524,0.0127292110736,-0.0528395701028,0.998359601952
1574829749537100142,10285,1574829749537100142,/map,-0.00107512414455,0.00493932104111,-0.0598225479126,0.010026696613,0.0119597544852,-0.0561146387898,0.998302347459
1574829749637101685,10286,1574829749637101685,/map,-0.00107485771179,0.00497982549667,-0.0678060073853,0.000779486695865,0.0116127971456,-0.0633918461797,0.997920843144
1574829749737100952,10287,1574829749737100952,/map,-0.00107115578651,0.00554247570038,-0.0754971008301,-0.00590455714196,0.0119165978789,-0.0670167947499,0.997663209766
1574829749837079551,10288,1574829749837079551,/map,-0.00113680160046,0.00572896242142,-0.0808680419922,-0.0112207850767,0.0114314980747,-0.0667988957389,0.997637871355
1574829749937117639,10289,1574829749937117639,/map,-0.00120439946651,0.0056310377121,-0.0862059249878,-0.0189647929934,0.0101598439257,-0.0664697279457,0.997556459287
1574829750037104110,10290,1574829750037104110,/map,-0.00120405936241,0.00567697191238,-0.0916116790771,-0.0256937697106,0.00975858568464,-0.0669359889778,0.997378651056
1574829750137082621,10291,1574829750137082621,/map,-0.00120217454433,0.00593163156509,-0.0963192672729,-0.0332950167119,0.00994138547219,-0.0668762050818,0.997156047924
1574829750237101271,10292,1574829750237101271,/map,-0.00126677334309,0.00621209812164,-0.10040222168,-0.0382632599086,0.00944561880686,-0.0667487379934,0.996991127946
1574829750337073768,10293,1574829750337073768,/map,-0.00133338570595,0.00621974658966,-0.106039306641,-0.0472404292128,0.00932749291903,-0.0667167061938,0.996609362207
1574829750437104685,10294,1574829750437104685,/map,-0.00133369648457,0.0061819562912,-0.109020027161,-0.0525862284797,0.00959914454648,-0.0673830392787,0.996294168916
1574829750537103623,10295,1574829750537103623,/map,-0.00126493310928,0.00644763326645,-0.109132926941,-0.0529379932257,0.0084547173494,-0.0805964704253,0.995304122157
1574829750637113759,10296,1574829750637113759,/map,-0.00132931661606,0.00671451854706,-0.109245277405,-0.051962643928,0.00697290911245,-0.0944765364804,0.994145586033
1574829750737101966,10297,1574829750737101966,/map,-0.00126328122616,0.00665906953812,-0.109124923706,-0.0515207980099,0.00635647728395,-0.0988237996379,0.993749998337
1574829750837103667,10298,1574829750837103667,/map,-0.00106497621536,0.00648172426224,-0.107457939148,-0.0523741679288,0.0087588249277,-0.0997449593456,0.993595074769
1574829750937129226,10299,1574829750937129226,/map,-0.000933776795864,0.00614721679687,-0.10186995697,-0.0459529212243,0.0116637317305,-0.100231957556,0.993833910207
1574829751037082469,10300,1574829751037082469,/map,-0.000865282416344,0.00648295259476,-0.0931819076538,-0.0356015615578,0.0134642556236,-0.100587434728,0.994199884636
1574829751137103523,10301,1574829751137103523,/map,-0.000596470177174,0.00717699432373,-0.0816610870361,-0.0271257958431,0.0137956119663,-0.100620109554,0.994459383707
1574829751237099434,10302,1574829751237099434,/map,0.000264246374369,0.00769408178329,-0.0697566375732,-0.0213881488221,0.0138456079178,-0.098994362321,0.99476176166
1574829751337098729,10303,1574829751337098729,/map,0.00145089924335,0.00796978378296,-0.0591047210693,-0.0191167806801,0.0115151338787,-0.0951905109781,0.995208881094
1574829751437082879,10304,1574829751437082879,/map,0.00257561087608,0.00775705194473,-0.0503103637695,-0.0142410962304,0.0099161330251,-0.089401229508,0.995844506761
1574829751537099038,10305,1574829751537099038,/map,0.00329648518562,0.00803727245331,-0.0451419792175,-0.00797580198399,0.00844532967374,-0.0869078953487,0.996148623808
1574829751637099019,10306,1574829751637099019,/map,0.00330524420738,0.00761131668091,-0.0393933639526,-0.00367318073478,0.00458378237338,-0.0848469568793,0.996376681075
